sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
Right to access : You have the right to access and a request a copy of your data which have been gathered . 	NaN	NaN	NaN	NaN
Request access to your personal data ( commonly known as a data subject access request ) : This enables you to receive a copy of the personal data we hold about you and to check that we are lawfully processing it . 	NaN	NaN	NaN	NaN
Access the personal data we hold about you . 	NaN	NaN	NaN	NaN
Request access to your personal data ( commonly known as a data subject access request ) . 	NaN	NaN	NaN	NaN
You may request access to the personal information we hold about you and that we amend or delete it 	NaN	NaN	NaN	NaN
our right to access , correct 	NaN	NaN	NaN	NaN
Subject to certain exemptions provided for under the Privacy Laws , you have a right to access Personal Information we hold about you . 	NaN	NaN	NaN	NaN
A simple request from you will oblige us to give you full access to the personal information that we have stored about you . 	NaN	NaN	NaN	NaN
We provide you with account tools to access 	['access']	NaN	NaN	['account tools']
We make good faith efforts to give you a right to access your personal information to have errors in your personal information rectified , 	NaN	NaN	NaN	NaN
you may check what data we store about you , for this purpose please load Terms & Privacy from your Game settings and follow instructions in section Request a Summary of Personal Data in Privacy Policy ( available to EEA-based users only ) ) 	NaN	NaN	NaN	NaN
Right of access : You have a right to ask whether or not we have personal data about You and , if that is the case , request information on what personal data we have about You and why and how we process it . 	NaN	NaN	NaN	NaN
Right of access : You have the right to receive confirmation from us whether any personal data related to you is processed and , if this is the case , you have the right to access the personal data and receive information of how it is being processed 	NaN	NaN	NaN	NaN
Right of rectification : You have the right to obtain from us without undue delay the rectification of inaccurate personal data concerning you 	NaN	NaN	NaN	NaN
Taking into account the purposes of the processing , you have the right to have incomplete personal data completed , including by means of providing a supplementary statement 	NaN	NaN	NaN	NaN
If you realize that the personal information about you which we store is incorrect or incomplete , please contact us using the contact information below . 	NaN	NaN	NaN	NaN
As a Tandem user , you have the right to access , rectification , right to object , to complaint , erasure and blockage 	NaN	NaN	NaN	NaN
You have the right to request information about whether and which personal data is processed by our company 	NaN	NaN	NaN	NaN
You have the right to access personal information we hold about you , how we use it , and who we share it with 	NaN	NaN	NaN	NaN
You can access the personal information you have made available as part of your account by logging into your Game account 	['access']	['the personal information']	['log']	['your game account']
You have the right to access the Personal Information we hold about you in order to verify the Personal Information we have collected in respect to you and to have a general account of our uses of that information . 	NaN	NaN	NaN	NaN
You may have rights under European and other laws to have access to your personal information and to ask us to rectify , erase and restrict use of , your personal information . 	NaN	NaN	NaN	NaN
