NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
right	0.4027616466640857	gdpr	0.0400051619563814	request	0.1654407020260679	personal	0.5230352303523035
datum	0.3391405342624854	personal	0.0305845915602013	delete	0.1503419796102723	right	0.4254742547425474
information	0.3283004258614014	article	0.0218092657117047	object	0.1055620080010324	information	0.3866305329719964
processing	0.1722802942315137	data	0.0181958962446767	access	0.0996257581623435	datum	0.3703703703703703
time	0.0978190734288295	personal data	0.0166473093302361	provide	0.0983352690669763	request	0.2168021680216802
account	0.0807846173699832	personal information	0.0086462769389598	process	0.0922699703187508	processing	0.1878952122854562
complaint	0.0792360304555426	information	0.008130081300813	ask	0.075880758807588	access	0.1707317073170731
copy	0.0687830687830687	eu	0.0076138856626661	correct	0.071364046973803	delete	0.1662149954832881
service	0.0574267647438379	privacy policy	0.0065814943863724	contact	0.0689121176926055	data	0.1571815718157181
access	0.0552329332817137	protection	0.0061943476577622	hold	0.0625887211253064	use	0.1409214092140921
data	0.0535552974577364	privacy	0.0056781520196154	restrict	0.0525229061814427	object	0.1273712737127371
authority	0.052393857271906	uber	0.005420054200542	update	0.0495547812620983	account	0.1165311653116531
use	0.047877145438121	eea	0.0050329074719318	lodge	0.047877145438121	process	0.1111111111111111
consent	0.0438766292424829	office	0.0043876629242482	change	0.0429732868757259	correct	0.1047877145438121
request	0.0425861401471157	ico	0.0042586140147115	receive	0.042457091237579	provide	0.1002710027100271
user	0.042457091237579	account	0.0041295651051748	use	0.039747064137308	time	0.0948509485094851
circumstance	0.0358755968512066	european economic area	0.0038714672861014	erase	0.0353594012130597	complaint	0.082204155374887
machine	0.0357465479416698	twitter	0.0034843205574912	collect	0.0344560588463027	contact	0.082204155374887
purpose	0.0348432055749128	authority	0.0033552716479545	obtain	0.0314879339269583	update	0.08130081300813
setting	0.0348432055749128	policy	0.0033552716479545	include	0.0305845915602013	ask	0.077687443541102
format	0.0341979610272293	general data protection regulation	0.0032262227384178	concern	0.0303264937411278	authority	0.073170731707317
erasure	0.0331655697509356	union	0.0032262227384178	base	0.0296812491934443	copy	0.069557362240289
restriction	0.0312298361078848	duolingo	0.0032262227384178	want	0.0277455155503936	service	0.068654019873532
interest	0.029810298102981	google	0.0032262227384178	remove	0.0256807329978061	setting	0.064137308039747
law	0.0294231513743708	member state	0.0029681249193444	withdraw	0.0255516840882694	certain	0.064137308039747
rectification	0.0292941024648341	profile	0.0029681249193444	store	0.0247773906310491	hold	0.064137308039747
deletion	0.028906955736224	facebook	0.0028390760098077	send	0.0237449993547554	restrict	0.06323396567299
accordance	0.0286488579171506	state	0.0028390760098077	relate	0.0230997548070718	email	0.060523938572719
ground	0.0269712220931733	switzerland	0.002710027100271	wish	0.0229707058975351	lodge	0.056007226738934
section	0.0260678797264163	european	0.0025809781907342	rectify	0.0227126080784617	supervisory	0.05420054200542
controller	0.0256807329978061	doubleugames	0.0024519292811975	exercise	0.0215511678926313	change	0.05420054200542
app	0.0206478255258743	uk	0.0023228803716608	modify	0.0211640211640211	protection	0.051490514905149
email	0.0202606787972641	amino	0.0021938314621241	transmit	0.0197444831591173	user	0.050587172538392
case	0.0183249451542134	periscope	0.0020647825525874	require	0.0185830429732868	purpose	0.048780487804878
marketing	0.0178087495160665	dpo	0.0020647825525874	like	0.0185830429732868	gdpr	0.047877145438121
data portability	0.0170344560588463	playdemic	0.0020647825525874	limit	0.016260162601626	consent	0.047877145438121
basis	0.0163892115111627	information commissioners office	0.0019357336430507	review	0.0158730158730158	receive	0.043360433604336
update	0.016260162601626	jaumo	0.0019357336430507	believe	0.0149696735062588	concern	0.041553748870822
correction	0.0161311136920893	united kingdom	0.0019357336430507	log	0.0147115756871854	format	0.041553748870822
portability	0.0160020647825525	information commissioner	0.0019357336430507	submit	0.014453477868112	erasure	0.039747064137308
way	0.0158730158730158	dingtone	0.0019357336430507	follow	0.014453477868112	legitimate	0.039747064137308
object	0.0156149180539424	terms	0.001806684733514	email	0.0139372822299651	inaccurate	0.039747064137308
reason	0.0149696735062588	supervisory authority	0.001806684733514	entitle	0.0134210865918183	controller	0.038843721770551
situation	0.0149696735062588	settings	0.001806684733514	edit	0.0130339398632081	readable	0.038843721770551
article	0.0148406245967221	member	0.001806684733514	transfer	0.0129048909536714	erase	0.038843721770551
order	0.0141953800490385	economic	0.001806684733514	need	0.0125177442250612	machine	0.037940379403794
accuracy	0.0136791844108917	area	0.001806684733514	opt	0.0125177442250612	make	0.037037037037037
detail	0.0134210865918183	medium	0.0016776358239772	share	0.0116144018583042	circumstance	0.03613369467028
change	0.0130339398632081	nekki limited	0.0016776358239772	make	0.0113563040392308	collect	0.03613369467028
party	0.0129048909536714	livu	0.0015485869144405	note	0.0110982062201574	article	0.035230352303523
art	0.0127758420441347	sns	0.0015485869144405	stop	0.010840108401084	restriction	0.035230352303523
marketing purpose	0.0127758420441347	webmartgroup	0.0015485869144405	retain	0.0104529616724738	legal	0.035230352303523
obligation	0.0127758420441347	contact	0.0015485869144405	verify	0.009936766034327	portability	0.034327009936766
profiling	0.012646793134598	tgtg	0.0015485869144405	enable	0.0098077171247902	rectification	0.034327009936766
page	0.011743450767841	netflix	0.0015485869144405	describe	0.0098077171247902	section	0.034327009936766
protection	0.0113563040392308	id	0.0014195380049038	know	0.0096786682152535	obtain	0.034327009936766
game	0.0112272551296941	tandem	0.0014195380049038	apply	0.0095496193057168	privacy	0.034327009936766
account setting	0.0110982062201574	llc	0.0014195380049038	resolve	0.0094205703961801	law	0.033423667570009
addition	0.0109691573106207	overmobile	0.0014195380049038	associate	0.0094205703961801	deletion	0.033423667570009
device	0.0109691573106207	flaregames	0.0014195380049038	amend	0.0092915214866434	marketing	0.031616982836495
website	0.010840108401084	lingodeer	0.0012904890953671	inform	0.0091624725771067	include	0.030713640469738
example	0.0105820105820105	united states	0.0012904890953671	choose	0.00903342366757	base	0.029810298102981
profile	0.0100658149438637	advertising demand partner	0.0012904890953671	override	0.0089043747580332	rectify	0.028906955736224
delay	0.0098077171247902	game	0.0012904890953671	prevent	0.0087753258484965	accordance	0.028906955736224
inaccuracy	0.0098077171247902	personal data request portal	0.0012904890953671	carry	0.0087753258484965	structured	0.028906955736224
collection	0.0098077171247902	services	0.0012904890953671	automate	0.0087753258484965	subject	0.028003613369467
address	0.0098077171247902	privacy settings	0.0012904890953671	manage	0.0086462769389598	want	0.028003613369467
system	0.0096786682152535	regulation	0.0012904890953671	control	0.0085172280294231	modify	0.02710027100271
objection	0.00903342366757	general	0.0012904890953671	visit	0.0080010323912762	withdraw	0.02710027100271
instruction	0.00903342366757	supervisory	0.0012904890953671	let	0.0080010323912762	remove	0.02710027100271
data controller	0.0085172280294231	publisher partner	0.0011614401858304	comply	0.0078719834817395	long	0.02710027100271
mean	0.0085172280294231	account settings	0.0011614401858304	complete	0.0078719834817395	profile	0.026196928635953
country	0.0083881791198864	mobile war	0.0011614401858304	demand	0.0077429345722028	applicable	0.025293586269196
cookie	0.0082591302103497	eu member state	0.0011614401858304	supplement	0.0068395922054458	exercise	0.025293586269196
relation	0.008130081300813	icbc	0.0011614401858304	give	0.0065814943863724	store	0.025293586269196
content	0.0080010323912762	privacy shield	0.0011614401858304	complain	0.0064524454768357	app	0.025293586269196
browser	0.0078719834817395	section	0.0011614401858304	continue	0.0061943476577622	review	0.024390243902439
data protection authority	0.0077429345722028	huuuges	0.0011614401858304	download	0.0061943476577622	commonly	0.024390243902439
privacy	0.0077429345722028	tgtg account	0.0011614401858304	allow	0.0061943476577622	incomplete	0.023486901535682
contract	0.0074848367531294	google analytics	0.0010323912762937	write	0.0058072009291521	necessary	0.023486901535682
person	0.007226738934056	customer	0.0010323912762937	oppose	0.0056781520196154	send	0.023486901535682
concern	0.007226738934056	european union	0.0010323912762937	erasure	0.005420054200542	wish	0.023486901535682
child	0.007226738934056	google account	0.0010323912762937	consider	0.005420054200542	direct	0.022583559168925
disclosure	0.0068395922054458	homa	0.0010323912762937	accord	0.0052910052910052	relate	0.022583559168925
recipient	0.0064524454768357	united	0.0010323912762937	export	0.0052910052910052	edit	0.020776874435411
claim	0.006323396567299	advertising	0.0010323912762937	reside	0.0052910052910052	require	0.019873532068654
freedom	0.006323396567299	limited	0.0010323912762937	contest	0.0052910052910052	transmit	0.019873532068654
respect	0.006323396567299	para	0.000903342366757	explain	0.0052910052910052	ground	0.019873532068654
data protection	0.006323396567299	singapore	0.000903342366757	refuse	0.0050329074719318	page	0.019873532068654
infringement	0.006323396567299	instagram	0.000903342366757	set	0.0049038585623951	relevant	0.018970189701897
provision	0.006323396567299	netmarble	0.000903342366757	mean	0.0046457607433217	correction	0.018970189701897
message	0.006323396567299	imo	0.000903342366757	view	0.0046457607433217	like	0.018970189701897
application	0.0060652987482255	informationsfreiheit	0.000903342366757	enter	0.004516711833785	address	0.018970189701897
condition	0.0059362498386888	jams	0.000903342366757	file	0.004516711833785	limit	0.01806684733514
tool	0.0059362498386888	principles	0.000903342366757	specify	0.004516711833785	particular	0.01806684733514
contact	0.0059362498386888	bdsg	0.000903342366757	agree	0.004516711833785	case	0.01806684733514
product	0.0058072009291521	huuugegroup	0.000903342366757	consent	0.004516711833785	directly	0.01806684733514
data subject	0.0058072009291521	apple	0.000903342366757	maintain	0.004516711833785	game	0.01806684733514
