NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
information	0.3728149487643158	personal	0.0286317058468957	delete	0.3233875828812537	personal	0.5126582278481012
datum	0.325497287522604	gdpr	0.0201928872814948	request	0.1986136226642555	information	0.4535864978902953
right	0.2597950572634117	article	0.0153707052441229	correct	0.148583484026522	delete	0.3565400843881856
account	0.1597347799879445	data	0.0153707052441229	access	0.1359252561784207	datum	0.3544303797468354
time	0.1066907775768535	personal data	0.0111512959614225	update	0.1112115732368897	right	0.2763713080168776
erasure	0.0768535262206148	personal information	0.0096443640747438	provide	0.0937311633514165	request	0.2447257383966244
service	0.0693188667872212	information	0.0087402049427365	change	0.090717299578059	account	0.2215189873417721
rectification	0.063592525617842	privacy policy	0.0078360458107293	contact	0.0807715491259795	correct	0.2215189873417721
deletion	0.0569620253164556	account	0.0060277275467148	erase	0.0759493670886076	access	0.2025316455696202
setting	0.0515370705244122	facebook	0.0060277275467148	ask	0.0738396624472573	update	0.1814345991561181
data	0.0482218203737191	privacy	0.0057263411693791	remove	0.0578661844484629	change	0.1160337552742616
user	0.0464135021097046	uber	0.0054249547920434	hold	0.0554550934297769	data	0.1075949367088607
request	0.0415913200723327	profile	0.0051235684147076	collect	0.0533453887884267	time	0.1033755274261603
access	0.0415913200723327	dpo	0.0048221820373719	rectify	0.050632911392405	setting	0.0991561181434599
processing	0.0412899336949969	jaumo	0.0045207956600361	modify	0.0461121157323689	provide	0.0949367088607595
app	0.0385774562989752	duolingo	0.0045207956600361	process	0.038878842676311	contact	0.0949367088607595
correction	0.037673297166968	union	0.0042194092827004	want	0.0373719107896323	erasure	0.090717299578059
update	0.0358649789029535	policy	0.0042194092827004	store	0.0361663652802893	email	0.0864978902953586
section	0.0331525015069318	livu	0.0036166365280289	wish	0.0358649789029535	use	0.0843881856540084
email	0.0310427968655816	eea	0.0036166365280289	object	0.0310427968655816	erase	0.0822784810126582
consent	0.0295358649789029	sns	0.0036166365280289	edit	0.0304400241109101	inaccurate	0.080168776371308
circumstance	0.0289330922242314	settings	0.0036166365280289	use	0.0289330922242314	rectification	0.0738396624472573
change	0.0283303194695599	doubleugames	0.0036166365280289	review	0.0286317058468957	ask	0.0738396624472573
account setting	0.025919228450874	google	0.0036166365280289	log	0.0280289330922242	service	0.0738396624472573
accordance	0.024713682941531	netflix	0.0036166365280289	withdraw	0.0268233875828812	deletion	0.0675105485232067
law	0.023508137432188	flaregames	0.0033152501506931	concern	0.0256178420735382	rectify	0.0632911392405063
profile	0.0216998191681736	playdemic	0.0033152501506931	email	0.0253164556962025	remove	0.0611814345991561
obligation	0.0213984327908378	advertising demand partner	0.0030138637733574	like	0.0229053646775165	certain	0.0569620253164556
website	0.0204942736588306	services	0.0030138637733574	require	0.022302591922845	modify	0.0569620253164556
reason	0.0201928872814948	amino	0.0030138637733574	obtain	0.0220012055455093	hold	0.0569620253164556
purpose	0.0198915009041591	twitter	0.0030138637733574	believe	0.0207956600361663	user	0.0548523206751054
case	0.0189873417721519	dingtone	0.0030138637733574	send	0.0204942736588306	collect	0.0548523206751054
use	0.0189873417721519	contact	0.0030138637733574	retain	0.0201928872814948	profile	0.0548523206751054
delay	0.0186859553948161	member state	0.0030138637733574	amend	0.0195901145268233	incomplete	0.050632911392405
system	0.0171790235081374	id	0.0027124773960217	include	0.0180831826401446	long	0.050632911392405
page	0.0171790235081374	publisher partner	0.0027124773960217	complete	0.0171790235081374	review	0.0485232067510548
address	0.0153707052441229	mobile war	0.0027124773960217	verify	0.0168776371308016	edit	0.0485232067510548
game	0.0150693188667872	tgtg account	0.0027124773960217	need	0.0168776371308016	section	0.0485232067510548
instruction	0.0147679324894514	terms	0.0021097046413502	note	0.0162748643761302	app	0.0464135021097046
accuracy	0.0144665461121157	instagram	0.0021097046413502	restrict	0.0162748643761302	processing	0.0464135021097046
controller	0.0132610006027727	imo	0.0021097046413502	associate	0.0159734779987944	process	0.0443037974683544
relation	0.0126582278481012	bdsg	0.0021097046413502	submit	0.0159734779987944	correction	0.0443037974683544
child	0.0126582278481012	section	0.0021097046413502	follow	0.0159734779987944	necessary	0.040084388185654
inaccuracy	0.0123568414707655	huuugegroup	0.0021097046413502	supplement	0.0159734779987944	store	0.0379746835443038
restriction	0.0120554550934297	switzerland	0.0021097046413502	exercise	0.0144665461121157	make	0.0379746835443038
application	0.0114526823387582	tgtg	0.0021097046413502	make	0.0144665461121157	want	0.0379746835443038
ground	0.0108499095840868	r2games	0.0018083182640144	manage	0.0141651597347799	object	0.0358649789029535
article	0.010548523206751	tandem	0.0018083182640144	apply	0.0135623869801084	legal	0.0358649789029535
account information	0.010548523206751	webmartgroup	0.0018083182640144	erasure	0.0126582278481012	wish	0.0358649789029535
record	0.010548523206751	findnow	0.0018083182640144	receive	0.0126582278481012	page	0.0337552742616033
device	0.0102471368294153	customer	0.0018083182640144	comply	0.0123568414707655	log	0.0316455696202531
content	0.0102471368294153	medium	0.0018083182640144	visit	0.0123568414707655	address	0.0316455696202531
detail	0.0102471368294153	nhn	0.0018083182640144	demand	0.0120554550934297	incorrect	0.0295358649789029
registration	0.0102471368294153	neptune	0.0018083182640144	relate	0.011754068716094	concern	0.0295358649789029
email address	0.0102471368294153	applicationsor	0.0018083182640144	base	0.0114526823387582	circumstance	0.0295358649789029
date	0.0099457504520795	information society	0.0018083182640144	view	0.0108499095840868	consent	0.0295358649789029
interest	0.0096443640747438	protection	0.0018083182640144	specify	0.010548523206751	privacy	0.0295358649789029
object	0.009342977697408	general data protection regulation	0.0015069318866787	forget	0.0102471368294153	obligation	0.0274261603375527
profile information	0.0090415913200723	lingodeer	0.0015069318866787	desire	0.0081374321880651	withdraw	0.0274261603375527
addition	0.0090415913200723	metros privacy officer	0.0015069318866787	close	0.0081374321880651	directly	0.0274261603375527
customer	0.0090415913200723	flow	0.0015069318866787	allow	0.0081374321880651	article	0.0253164556962025
basis	0.0087402049427365	tandems	0.0015069318866787	entitle	0.0078360458107293	accordance	0.0253164556962025
way	0.0084388185654008	game	0.0015069318866787	review update	0.0075346594333936	complete	0.0253164556962025
option	0.0084388185654008	personal data request portal	0.0015069318866787	continue	0.0072332730560578	applicable	0.0253164556962025
-url-	0.0084388185654008	personal information protection act	0.0015069318866787	go	0.0072332730560578	restrict	0.0253164556962025
dispute	0.0084388185654008	llc	0.0015069318866787	enable	0.0063291139240506	amend	0.0253164556962025
ability	0.0084388185654008	app	0.0015069318866787	enter	0.0063291139240506	gdpr	0.0232067510548523
parent	0.0084388185654008	united states	0.0015069318866787	seek	0.0063291139240506	obtain	0.0232067510548523
contact	0.0075346594333936	geozilla	0.0015069318866787	inform	0.0063291139240506	require	0.0232067510548523
contact information	0.0072332730560578	healthvault	0.0015069318866787	learn	0.0063291139240506	law	0.0232067510548523
photo	0.0069318866787221	facebook settings	0.0015069318866787	deactivate	0.0063291139240506	legitimate	0.0232067510548523
menu	0.0069318866787221	icbc	0.0015069318866787	maintain	0.0063291139240506	like	0.0232067510548523
tool	0.0069318866787221	tantan	0.0015069318866787	access modify	0.0060277275467148	game	0.0232067510548523
member	0.0069318866787221	nova geims ooo	0.0015069318866787	sign	0.0060277275467148	purpose	0.0232067510548523
entry	0.0063291139240506	privacy settings	0.0015069318866787	register	0.0060277275467148	website	0.0232067510548523
respect	0.0063291139240506	telegram	0.0015069318866787	keep	0.0060277275467148	identifiable	0.0232067510548523
avatar	0.0063291139240506	privacy policy administrator	0.0015069318866787	explain	0.0060277275467148	demand	0.0210970464135021
product	0.0063291139240506	periscope	0.0015069318866787	click	0.0060277275467148	send	0.0210970464135021
instance	0.0063291139240506	grab	0.0015069318866787	replace	0.0057263411693791	support	0.0210970464135021
data controller	0.0063291139240506	data protection officer	0.0015069318866787	stop	0.0057263411693791	controller	0.0210970464135021
company	0.0063291139240506	huuuge games sp	0.0015069318866787	notify	0.0057263411693791	believe	0.0210970464135021
age	0.0063291139240506	european economic area	0.0015069318866787	override	0.0057263411693791	reason	0.0189873417721519
modification	0.0063291139240506	united kingdom	0.0015069318866787	revise	0.0054249547920434	exercise	0.0189873417721519
compliance	0.0063291139240506	homa	0.0015069318866787	oppose	0.0054249547920434	case	0.0189873417721519
order	0.0063291139240506	ironhide	0.0015069318866787	add	0.0051235684147076	subject	0.0189873417721519
server	0.0063291139240506	flash	0.0015069318866787	give	0.0051235684147076	retain	0.0189873417721519
control	0.0063291139240506	metro	0.0015069318866787	access update	0.0045207956600361	following	0.0189873417721519
support	0.0063291139240506	partner	0.0015069318866787	access edit	0.0045207956600361	policy	0.0189873417721519
error	0.0063291139240506	account settings	0.0012055455093429	select	0.0045207956600361	personally	0.0189873417721519
approach	0.0063291139240506	european economic area canada costa rica	0.0012055455093429	enforce	0.0042194092827004	delay	0.0168776371308016
clause	0.0063291139240506	company	0.0012055455093429	rely	0.0042194092827004	verify	0.0168776371308016
interaction	0.0063291139240506	customer support	0.0012055455093429	control	0.0042194092827004	associate	0.0168776371308016
claim	0.0063291139240506	keeper security	0.0012055455093429	restore	0.0042194092827004	need	0.0168776371308016
profile page	0.0060277275467148	homer learning	0.0012055455093429	write	0.0042194092827004	submit	0.0168776371308016
example	0.0060277275467148	eu	0.0012055455093429	post	0.0042194092827004	include	0.0168776371308016
copy	0.0057263411693791	camel games	0.0012055455093429	ensure	0.0042194092827004	note	0.0168776371308016
format	0.0057263411693791	longyuan network	0.0012055455093429	block	0.0042194092827004	accuracy	0.0147679324894514
situation	0.0054249547920434	huuuges dpo	0.0012055455093429	describe	0.0042194092827004	unless	0.0147679324894514
confirmation	0.0054249547920434	mopub services	0.0012055455093429	resolve	0.0042194092827004	application	0.0147679324894514
portability	0.0051235684147076	tgtg platform	0.0012055455093429	contain	0.0042194092827004	manage	0.0147679324894514
file	0.0048221820373719	picsart service	0.0012055455093429	connect	0.0042194092827004	registration	0.0147679324894514
feature	0.0048221820373719	huuuge	0.0012055455093429	let	0.0042194092827004	follow	0.0147679324894514
effect	0.0048221820373719	officer	0.0012055455093429	share	0.0042194092827004	supplement	0.0147679324894514
question	0.0048221820373719	publisher	0.0012055455093429	find	0.0042194092827004	customer	0.0147679324894514
link	0.0048221820373719	advertising	0.0012055455093429	create	0.0042194092827004	16	0.0126582278481012
contact detail	0.0045207956600361	demand	0.0012055455093429	login	0.0042194092827004	protection	0.0126582278481012
business	0.0045207956600361	mobile	0.0012055455093429	choose	0.0042194092827004	inaccuracy	0.0126582278481012
setting section	0.0045207956600361	war	0.0012055455093429	terminate	0.0039180229053646	comply	0.0126582278481012
privacy	0.0045207956600361	european	0.0012055455093429	download	0.0039180229053646	apply	0.0126582278481012
site	0.0045207956600361	economic	0.0012055455093429	identify	0.0039180229053646	accurate	0.0126582278481012
art	0.0042194092827004	area	0.0012055455093429	cease	0.0039180229053646	restriction	0.0126582278481012
