NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
copy	0.4747647562018819	gdpr	0.0538922155688622	provide	0.2951240376390077	personal	0.6167664670658682
right	0.4550898203592814	personal data	0.0427715996578272	request	0.2934131736526946	copy	0.4910179640718562
datum	0.4448246364414029	personal	0.039349871685201	receive	0.2403763900769888	right	0.4850299401197604
information	0.3122326775021385	article	0.0367835757057313	transmit	0.1479897348160821	datum	0.4730538922155688
format	0.2711719418306245	data	0.0325064157399486	hold	0.1137724550898203	information	0.3592814371257485
machine	0.2686056458511548	personal information	0.0145423438836612	ask	0.1077844311377245	data	0.3473053892215569
data portability	0.1334473909324208	google account	0.0102651839178785	process	0.097519247219846	request	0.3473053892215569
controller	0.1317365269461078	information	0.0102651839178785	transfer	0.0906757912745936	format	0.3233532934131736
processing	0.1009409751924722	uber	0.0094097519247219	obtain	0.059880239520958	provide	0.311377245508982
portability	0.0872540633019675	general data protection regulation	0.0085543199315654	base	0.0538922155688622	readable	0.2994011976047904
data	0.0812660393498716	account	0.0085543199315654	send	0.0538922155688622	machine	0.2934131736526946
service	0.0607356715141146	duolingo	0.0085543199315654	use	0.0521813515825491	use	0.2574850299401197
consent	0.059880239520958	google	0.0068434559452523	concern	0.0419161676646706	receive	0.2514970059880239
party	0.0479041916167664	para	0.0059880239520958	correct	0.039349871685201	structured	0.2275449101796407
request	0.0479041916167664	doubleugames	0.0059880239520958	entitle	0.0342172797262617	portability	0.2275449101796407
mean	0.039349871685201	state	0.0059880239520958	contact	0.0325064157399486	commonly	0.1736526946107784
contract	0.0359281437125748	llc	0.0051325919589392	export	0.0290846877673225	controller	0.1676646706586826
law	0.0359281437125748	webmartgroup	0.0051325919589392	like	0.0290846877673225	transmit	0.155688622754491
accordance	0.0359281437125748	lingodeer	0.0042771599657827	collect	0.0290846877673225	ask	0.1197604790419161
data controller	0.029940119760479	carly solutions gmbh co kg	0.0042771599657827	access	0.0282292557741659	hold	0.1137724550898203
inaccuracy	0.029940119760479	personal data request portal	0.0042771599657827	undergo	0.0273738237810094	processing	0.1017964071856287
charge	0.0290846877673225	twitter	0.0042771599657827	automate	0.0265183917878528	process	0.1017964071856287
provider	0.0282292557741659	periscope	0.0042771599657827	delete	0.0248075278015397	transfer	0.0958083832335329
article	0.0248075278015397	yumobi tekhnolodzhi ooo	0.0042771599657827	want	0.0239520958083832	service	0.0958083832335329
form	0.0248075278015397	california civil code	0.0042771599657827	carry	0.0239520958083832	technically	0.0718562874251497
time	0.0239520958083832	apple	0.0042771599657827	follow	0.0230966638152266	feasible	0.0718562874251497
circumstance	0.0239520958083832	mobisystems inc	0.0034217279726261	accord	0.020530367835757	email	0.0718562874251497
service provider	0.0213857998289136	privacy policy	0.0034217279726261	require	0.020530367835757	consent	0.0718562874251497
access	0.0196749358426005	customer center	0.0034217279726261	mean	0.0188195038494439	obtain	0.0658682634730539
user	0.0179640718562874	nekki limited	0.0034217279726261	charge	0.0179640718562874	gdpr	0.059880239520958
hindrance	0.0179640718562874	protection	0.0034217279726261	describe	0.0179640718562874	20	0.0538922155688622
content	0.0179640718562874	regulation	0.0034217279726261	download	0.0179640718562874	contract	0.0538922155688622
email	0.0179640718562874	general	0.0034217279726261	share	0.0179640718562874	access	0.0538922155688622
delay	0.0179640718562874	california	0.0025662959794696	wish	0.0171086398631308	certain	0.0538922155688622
fee	0.0179640718562874	inc	0.001710863986313	exercise	0.0162532078699743	send	0.0538922155688622
order	0.0179640718562874	mobisystems	0.001710863986313	permit	0.0153977758768177	account	0.0538922155688622
app	0.0179640718562874	kg	0.001710863986313	inform	0.0145423438836612	provider	0.0538922155688622
use	0.0179640718562874	co	0.001710863986313	enable	0.0119760479041916	article	0.0479041916167664
choice	0.0179640718562874	carly	0.001710863986313	check	0.0119760479041916	concern	0.0479041916167664
recipient	0.0171086398631308	solutions	0.001710863986313	affect	0.0119760479041916	party	0.0419161676646706
contract performance	0.0171086398631308	gmbh	0.001710863986313	consent	0.0119760479041916	correct	0.0419161676646706
art	0.0128314798973481	portal	0.001710863986313	include	0.0119760479041916	electronic	0.0419161676646706
data subject	0.0128314798973481	request	0.001710863986313	store	0.011120615911035	mean	0.0419161676646706
performance	0.0128314798973481	policy	0.001710863986313	grant	0.0102651839178785	law	0.0359281437125748
hinderance	0.0119760479041916	privacy	0.001710863986313	know	0.0102651839178785	accordance	0.0359281437125748
person	0.0119760479041916	customer	0.001710863986313	learn	0.0059880239520958	contact	0.0359281437125748
legislator	0.0119760479041916	center	0.001710863986313	involve	0.0059880239520958	collect	0.0359281437125748
entity	0.0119760479041916	nekki	0.001710863986313	restrict	0.0059880239520958	entitle	0.029940119760479
deletion	0.0119760479041916	limited	0.001710863986313	oblige	0.0059880239520958	undergo	0.029940119760479
realization	0.0119760479041916	ooo	0.001710863986313	asus	0.0059880239520958	delete	0.029940119760479
demand	0.0119760479041916	tekhnolodzhi	0.001710863986313	manage	0.0059880239520958	export	0.029940119760479
exercise	0.0119760479041916	yumobi	0.001710863986313	upload	0.0059880239520958	form	0.029940119760479
freedom	0.0119760479041916	civil	0.001710863986313	submit	0.0059880239520958	free	0.029940119760479
step	0.0119760479041916	code	0.001710863986313	erase	0.0059880239520958	charge	0.029940119760479
means	0.0119760479041916	keep account	0.0008554319931565	precede	0.0059880239520958	inaccuracy	0.029940119760479
account	0.0119760479041916	keep	0.0008554319931565	establish	0.0059880239520958	automate	0.029940119760479
game	0.0102651839178785	may	0.0008554319931565	port	0.0059880239520958	like	0.029940119760479
-email-	0.0094097519247219			perform	0.0059880239520958	performance	0.029940119760479
game account datum	0.0085543199315654			help	0.0059880239520958	directly	0.029940119760479
account information	0.0085543199315654			supply	0.0059880239520958	require	0.0239520958083832
disclosure	0.0076988879384088			prefer	0.0059880239520958	shall	0.0239520958083832
system	0.0076988879384088			write	0.0059880239520958	want	0.0239520958083832
paragraph	0.0059880239520958			jeopardize	0.0059880239520958	time	0.0239520958083832
tool	0.0059880239520958			decline	0.0059880239520958	circumstance	0.0239520958083832
transfer	0.0059880239520958			retain	0.0059880239520958	digital	0.0239520958083832
aspect	0.0059880239520958			assert	0.0051325919589392	follow	0.0239520958083832
owner	0.0059880239520958			mail	0.0051325919589392	download	0.0239520958083832
notification	0.0059880239520958			retrieve	0.0051325919589392	accord	0.0179640718562874
effort	0.0059880239520958			empower	0.0051325919589392	responsible	0.0179640718562874
obstruction	0.0059880239520958			desire	0.0051325919589392	user	0.0179640718562874
requirement	0.0059880239520958			note	0.0051325919589392	hindrance	0.0179640718562874
update	0.0059880239520958			apply	0.0051325919589392	inform	0.0179640718562874
change	0.0059880239520958			relate	0.0051325919589392	recipient	0.0179640718562874
site	0.0059880239520958			disclose	0.0051325919589392	content	0.0179640718562874
current	0.0059880239520958			put	0.0051325919589392	outside	0.0179640718562874
employee	0.0059880239520958			correct delete	0.0042771599657827	make	0.0179640718562874
word	0.0059880239520958			log	0.0042771599657827	permit	0.0179640718562874
processor	0.0059880239520958			modify update	0.0042771599657827	fee	0.0179640718562874
end	0.0059880239520958			take	0.0034217279726261	delay	0.0179640718562874
case	0.0059880239520958			back	0.0025662959794696	undue	0.0179640718562874
writing	0.0059880239520958			make	0.0025662959794696	subject	0.0179640718562874
download	0.0059880239520958			move	0.0025662959794696	order	0.0179640718562874
connection	0.0059880239520958			give	0.0025662959794696	game	0.0179640718562874
basis	0.0059880239520958			regard	0.001710863986313	app	0.0179640718562874
message	0.0059880239520958			see	0.001710863986313	wish	0.0179640718562874
instruction	0.0059880239520958			modify	0.001710863986313	ii	0.0179640718562874
